Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
60458767,2024/04/07,240.0,144.0,237.0,152.0,243.0,137.0,-0.25043,0.02758,-0.96774,-0.37189,0.03179,-0.92773,5.692,6.228
60475421,2024/04/07,165.0,165.0,168.0,178.0,162.0,153.0,-0.27084,0.03685,-0.96192,-0.39297,0.03775,-0.91878,5.695,6.254
60492076,2024/04/07,150.0,164.0,153.0,174.0,146.0,153.0,-0.27572,0.03511,-0.9606,-0.39775,0.03735,-0.91673,5.702,6.253
60508731,2024/04/07,144.0,164.0,150.0,173.0,138.0,155.0,-0.27679,0.0347,-0.9603,-0.39995,0.03781,-0.91576,5.705,6.256
60525385,2024/04/07,154.0,162.0,156.0,176.0,151.0,148.0,-0.27472,0.03595,-0.96085,-0.39615,0.03581,-0.91749,5.706,6.261
60542040,2024/04/07,159.0,163.0,161.0,174.0,157.0,151.0,-0.27282,0.03554,-0.96141,-0.39428,0.03739,-0.91823,5.709,6.255
60558695,2024/04/07,152.0,160.0,154.0,165.0,151.0,155.0,-0.27509,0.03237,-0.96087,-0.39611,0.03846,-0.9174,5.723,6.266
60575350,2024/04/07,153.0,158.0,150.0,164.0,156.0,152.0,-0.27621,0.03186,-0.96057,-0.39474,0.03757,-0.91802,5.721,6.27
60592004,2024/04/07,154.0,162.0,151.0,175.0,157.0,149.0,-0.27618,0.03526,-0.96046,-0.39461,0.03625,-0.91813,5.706,6.256
60608658,2024/04/07,155.0,165.0,152.0,174.0,157.0,155.0,-0.27605,0.03499,-0.9605,-0.39453,0.03826,-0.91809,5.699,6.25
60625313,2024/04/07,154.0,165.0,154.0,175.0,154.0,155.0,-0.27564,0.03505,-0.96062,-0.39576,0.03812,-0.91756,5.689,6.247
60641967,2024/04/07,162.0,163.0,158.0,172.0,165.0,154.0,-0.27463,0.0337,-0.96096,-0.39291,0.03732,-0.91882,5.673,6.237
60658622,2024/04/07,159.0,166.0,156.0,175.0,162.0,157.0,-0.27589,0.03408,-0.96058,-0.3943,0.03787,-0.9182,5.661,6.218
60675277,2024/04/07,159.0,171.0,156.0,179.0,162.0,164.0,-0.27648,0.03481,-0.96039,-0.39489,0.03953,-0.91788,5.643,6.207
60691931,2024/04/07,162.0,173.0,153.0,180.0,172.0,165.0,-0.27796,0.03486,-0.95996,-0.39264,0.0394,-0.91885,5.63,6.197
60708586,2024/04/07,169.0,179.0,158.0,193.0,181.0,165.0,-0.27684,0.03892,-0.96013,-0.39037,0.0394,-0.91982,5.617,6.185
