2.424,0.895
3.264,0.84
4.128,0.864
5,0.872
5.812,0.861
6.67,0.858
7.544,0.874
8.4,0.856
9.252,0.852
10.15,0.898
11.09,0.899
11.966,0.876
12.89,0.876
13.828,0.896
14.744,0.916
15.664,0.92
16.612,0.899
17.568,0.875
18.444,0.876
19.358,0.914
20.284,0.926
21.164,0.88
22.088,0.924
23.034,0.943
23.954,0.92
24.782,0.884
25.636,0.854
26.412,0.842
27.238,0.846
28.02,0.86
28.898,0.878
29.778,0.88
30.628,0.85
31.52,0.892
32.39,0.87
33.286,0.896
34.19,0.904
35.066,0.876
35.856,0.871
36.748,0.892
37.664,0.916
38.486,0.913
39.396,0.91
40.322,0.926
41.164,0.912
42.06,0.896
42.966,0.906
43.788,0.899
44.682,0.894
45.582,0.9
46.45,0.868
47.364,0.914
48.33,0.927
49.244,0.914
50.102,0.917
51.026,0.924
51.98,0.916
52.88,0.9
53.838,0.891
54.808,0.902
